sentiment,message,tweetid,cleaned_message,tweet_date,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_category,month
2,Libertarians and Conservatives Tout Action on Climate Change http://t.co/rDO48IiPaH via @ecowatch,593822306989834240,libertarians and conservatives tout action on climate change via ecowatch,2015-04-30 19:00:45.328,-0.1027,0.095,0.776,0.129,negative,2015-04
1,RT @ForecastFacts: This @Smithsonian scientist denies #climate change &amp; conceals fossil fuel funding—take action!  https://t.co/H9KgtYLVMD,593237046338015232,rt forecastfacts: this smithsonian scientist denies climate change amp; conceals fossil fuel funding take action!,2015-04-29 04:15:08.315,-0.4753,0.0,0.819,0.181,negative,2015-04
0,"just saw an eshay adlay carrying roses, after seeing a car towing a tow truck yesterday. climate change is real guys #auspol",593632584627654656,"just saw an eshay adlay carrying roses, after seeing a car towing a tow truck yesterday. climate change is real guys auspol",2015-04-30 06:26:51.992,0.0,0.0,1.0,0.0,neutral,2015-04
2,"Vatican, U.N. join forces against climate change http://t.co/gNrUBDVZqv #SmartNews",593360901790633984,"vatican, u.n. join forces against climate change smartnews",2015-04-29 12:27:17.756,0.296,0.216,0.784,0.0,positive,2015-04
1,Making Sense of Nonsense: A MOOC About Climate Change Denial - http://t.co/Z9fo7cCMWX http://t.co/qxPFrVQVWO,593102607452745728,making sense of nonsense: a mooc about climate change denial,2015-04-28 19:20:55.587,-0.4019,0.0,0.787,0.213,negative,2015-04
-1,RT @BradThor: Top scientists start to examine $q$fiddled$q$ (i.e. faked) global warming data... http://t.co/NCc5KoNvCF http://t.co/L4blinNAal,593108223365763072,rt bradthor: top scientists start to examine q fiddled q i.e. faked global warming data...,2015-04-28 19:43:14.525,0.34,0.207,0.793,0.0,positive,2015-04
1,RT @VirginiaRankin: Dear Bill Gates: $q$Will you lead the fight against climate change?$q$ #keepitintheground http://t.co/iyMyzEVXPf,593862624153997315,rt virginiarankin: dear bill gates: q will you lead the fight against climate change? q keepitintheground,2015-04-30 21:40:57.689,0.0,0.143,0.714,0.143,neutral,2015-04
2,"RT @climatecouncil: Extreme weather already on increase due to climate change, study finds http://t.co/slP5eKsZoU",593646640264687616,"rt climatecouncil: extreme weather already on increase due to climate change, study finds",2015-04-30 07:22:43.117,0.3182,0.15,0.85,0.0,positive,2015-04
0,"On now: Feel This Moment (feat. Christina Aguilera) by Pitbull, from Global Warming #vandyradio",593220613432545280,"on now: feel this moment feat. christina aguilera by pitbull, from global warming vandyradio",2015-04-29 03:09:50.405,0.1531,0.11,0.89,0.0,positive,2015-04
1,"We need our leaders to speak out on climate change, not stay silent - The Guardian http://t.co/BhGKvTyJMb",592633384804966400,"we need our leaders to speak out on climate change, not stay silent the guardian",2015-04-27 12:16:24.190,0.0,0.0,1.0,0.0,neutral,2015-04
